node_id,true_label,pred_label_raw,pred_label_aligned
0,0,1,0
1,0,1,0
2,0,1,0
3,0,1,0
4,0,1,0
5,0,1,0
6,0,1,0
7,0,1,0
8,0,1,0
9,0,1,0
10,0,1,0
11,0,1,0
12,0,1,0
13,0,1,0
14,0,1,0
15,0,1,0
16,0,1,0
17,0,1,0
18,0,1,0
19,0,1,0
20,0,1,0
21,0,1,0
22,0,1,0
23,0,1,0
24,0,1,0
25,1,2,1
26,1,2,1
27,1,2,1
28,1,1,0
29,1,2,1
30,1,2,1
31,1,2,1
32,1,0,2
33,1,0,2
34,1,1,0
35,1,2,1
36,1,0,2
37,1,2,1
38,1,2,1
39,1,2,1
40,1,2,1
41,1,2,1
42,1,2,1
43,1,0,2
44,1,0,2
45,1,2,1
46,1,2,1
47,1,0,2
48,1,2,1
49,1,2,1
50,2,1,0
51,2,0,2
52,2,0,2
53,2,0,2
54,2,0,2
55,2,0,2
56,2,0,2
57,2,0,2
58,2,0,2
59,2,0,2
60,2,0,2
61,2,0,2
62,2,0,2
63,2,0,2
64,2,0,2
65,2,0,2
66,2,0,2
67,2,0,2
68,2,0,2
69,2,0,2
70,2,0,2
71,2,2,1
72,2,0,2
73,2,0,2
74,2,0,2
75,3,2,1
76,3,1,0
77,3,2,1
78,3,0,2
79,3,1,0
80,3,1,0
81,3,0,2
82,3,2,1
83,3,1,0
84,3,2,1
85,3,2,1
86,3,2,1
87,3,2,1
88,3,2,1
89,3,2,1
90,3,2,1
91,3,2,1
92,3,2,1
93,3,1,0
94,3,2,1
95,3,2,1
96,3,2,1
97,3,2,1
98,3,2,1
99,3,0,2
