hidden,lr,neg_ratio,ARI_mean,ARI_std,H_mean,H_std,NMI_mean,NMI_std,time_mean,time_std,n_runs
[32],0.01,3,0.5046558584236224,0.4953720330147869,0.3505598063135736,0.005998875184376753,0.5160214222721153,0.48402705156325276,18.081451018651325,0.5788729905383025,6
[32],0.005,3,0.5008811415856141,0.49916425441158685,0.3500635878354578,0.006162800605038943,0.512420185121193,0.4876367024557978,18.724049250284832,0.47811208126252336,6
[32],0.001,3,0.38980394905533605,0.3881029056042816,0.37863119088403646,0.03473912398097371,0.4624146402050889,0.437652268079254,31.097101012865703,9.526750841149125,6
