Zeta,SBM_Python,Spectral_Clustering,Soft_Spectral_Clustering,Louvain,Leiden,deepLPBM
0.6,1.2674,0.7890,0.4810,0.7626,0.7582,0.4855
0.65,1.2674,0.7725,0.5210,0.7758,0.7544,0.5150
0.7,1.2674,0.7241,0.5611,0.7440,0.7375,0.5396
0.75,1.2674,0.6901,0.6012,0.7281,0.7232,0.5868
0.8,1.2674,0.6529,0.6413,0.6469,0.6438,0.6182
0.85,0.4764,0.4646,0.6814,0.5955,0.5955,0.5435
0.9,0.3567,0.3777,0.7214,0.5590,0.5589,0.5718
0.95,0.2503,0.2721,0.7615,0.5174,0.5173,0.6355
1.0,0.0000,0.0000,0.8016,0.4698,0.4697,0.6417
