Zeta,SBM_Python,Spectral_Clustering,Soft_Spectral_Clustering,Louvain,Leiden,deepLPBM
0.6,0.0000,0.0795,0.0825,0.0327,0.0201,0.0133
0.65,0.0000,0.1864,0.1760,0.0378,0.0409,0.0550
0.7,0.0000,0.3727,0.3803,0.1742,0.2258,0.1866
0.75,0.0000,0.4598,0.4672,0.1810,0.2571,0.1367
0.8,0.0000,0.5267,0.5331,0.6277,0.6365,0.1552
0.85,0.8609,0.9190,0.9400,0.6814,0.6814,0.7653
0.9,0.9899,0.9601,0.9601,0.6814,0.6815,0.8313
0.95,1.0000,0.9801,0.9704,0.6816,0.6818,0.7827
1.0,1.0000,1.0000,1.0000,0.6816,0.6818,0.9314
