Zeta,SBM_Python,Spectral_Clustering,Soft_Spectral_Clustering,Louvain,Leiden,deepLPBM
0.6,0.0000,0.3505,0.3509,0.0974,0.1030,0.2219
0.65,0.0000,0.5477,0.5625,0.5368,0.6698,0.2310
0.7,0.6598,0.7567,0.7373,0.7045,0.4118,0.2422
0.75,0.6598,0.9003,0.9003,0.7588,0.7407,0.2549
0.8,0.9685,0.9427,0.9427,0.7943,0.7951,0.2435
0.85,0.9779,0.9789,0.9789,0.7931,0.7936,0.4192
0.9,1.0000,1.0000,1.0000,0.7928,0.7936,0.9787
0.95,1.0000,1.0000,1.0000,0.7931,0.7933,0.9895
1.0,0.9882,1.0000,1.0000,0.7922,0.7945,0.8512
