Zeta,SBM_Python,Spectral_Clustering,Soft_Spectral_Clustering,Louvain,Leiden,deepLPBM
0.6,1.2935,0.7074,0.4482,0.7698,0.7479,0.4403
0.65,1.2935,0.6763,0.4856,0.6872,0.6645,0.4740
0.7,0.9069,0.6086,0.5229,0.6394,0.6603,0.5091
0.75,0.8932,0.5303,0.5603,0.5988,0.6039,0.5438
0.8,0.4591,0.4708,0.5976,0.5605,0.5604,0.5791
0.85,0.4049,0.4031,0.6350,0.5266,0.5263,0.5748
0.9,0.3256,0.3256,0.6723,0.4878,0.4875,0.4778
0.95,0.2333,0.2333,0.7097,0.4430,0.4429,0.5014
1.0,0.0856,0.0000,0.7470,0.3909,0.3898,0.5748
