Zeta,SBM_Python,Spectral_Clustering,Soft_Spectral_Clustering,Louvain,Leiden,deepLPBM
0.6,0.0000,0.2974,0.2996,0.0604,0.0464,0.1633
0.65,0.0000,0.4750,0.4878,0.5103,0.6315,0.1733
0.7,0.3409,0.7090,0.6768,0.6568,0.3597,0.1780
0.75,0.3409,0.8843,0.8843,0.7155,0.6984,0.1900
0.8,0.9718,0.9420,0.9420,0.7436,0.7439,0.1864
0.85,0.9683,0.9809,0.9809,0.7427,0.7432,0.3713
0.9,1.0000,1.0000,1.0000,0.7426,0.7432,0.9799
0.95,1.0000,1.0000,1.0000,0.7427,0.7428,0.9905
1.0,0.9865,1.0000,1.0000,0.7419,0.7434,0.7929
